time,x,y,vx,vy,dist,c,valid,screen_width,screen_height
56572.72500003455,189,-82,498,328,221,0,0,1536,864
56599.47499999544,339,-71,498,328,366,0,0,1536,864
56626.985000038985,232,-110,498,328,270,0,0,1536,864
56649.789999995846,283,-169,498,328,340,0,0,1536,864
56676.16500001168,306,-252,498,328,401,0,0,1536,864
56698.815000010654,199,-274,498,328,334,0,0,1536,864
56722.70500002196,381,-262,498,328,470,0,0,1536,864
56747.19500000356,381,-262,498,328,470,0,0,1536,864
56770.725000009406,361,-204,498,328,425,0,0,1536,864
56794.44999998668,231,-191,498,328,305,0,0,1536,864
56824.42499999888,141,-143,498,328,203,0,0,1536,864
56847.7300000377,35,-190,498,328,175,0,1,1536,864
56872.16999998782,-66,-83,498,328,71,1,1,1536,864
56897.174999990966,8,-42,498,328,37,2,1,1536,864
56921.41000000993,8,-42,498,328,37,3,1,1536,864
56946.300000010524,66,-51,498,328,94,4,1,1536,864
56972.03000000445,-26,119,498,328,144,5,1,1536,864
56995.80999999307,138,-48,498,328,164,6,1,1536,864
57020.235000003595,138,-48,498,328,164,7,1,1536,864
57046.25000001397,2,48,498,328,77,8,1,1536,864
57070.24500000989,19,-10,498,328,46,9,1,1536,864
57112.56500001764,-211,-87,498,328,196,10,1,1536,864
57141.46499999333,-200,92,498,328,210,11,0,1536,864
57165.31000001123,-302,-68,498,328,280,11,0,1536,864
57192.99499999033,115,-158,498,328,193,11,1,1536,864
57217.780000006314,-58,-223,498,328,200,12,0,1536,864
57240.634999994654,-58,-223,498,328,200,12,0,1536,864
57263.29500001157,99,-150,498,328,176,12,1,1536,864
57288.86000002967,-87,13,498,328,72,13,1,1536,864
57312.56500002928,-110,-148,498,328,149,14,1,1536,864
57336.275000008754,-110,-148,498,328,149,15,1,1536,864
57362.435000017285,-65,-128,498,328,110,16,1,1536,864
57385.71500004036,-154,-17,498,328,129,17,1,1536,864
57416.3450000342,-74,34,498,328,76,18,1,1536,864
57441.519999993034,-121,-2,498,328,98,19,1,1536,864
57465.89500003029,-54,-23,498,328,29,20,1,1536,864
