time,x,y,cx,cy,dist,c,screen_width,screen_height
38709.16999998735,-192,13,812,540,511.50464318518164,20,1536,864
38743.40999999549,-192,13,812,540,511.50464318518164,20,1536,864
38762.64999998966,-259,102,812,540,554.5529731233978,20,1536,864
38785.19000002416,-115,37,812,540,430.9477926617098,20,1536,864
38824.33500001207,-115,37,812,540,430.9477926617098,20,1536,864
38847.45000000112,-207,-10,812,540,533.689984916337,20,1536,864
38866.13999999827,-207,-10,812,540,533.689984916337,20,1536,864
38904.71999999136,-284,-56,812,540,622.3969794271177,20,1536,864
38942.24000000395,-139,69,812,540,443.96846734875214,20,1536,864
38962.240000022575,1,78,812,540,307.9366818032564,20,1536,864
38983.39000000851,343,63,812,540,135.2479205015737,20,1536,864
39004.07500000438,5,-26,812,540,355,20,1536,864
39025.36000002874,5,-26,812,540,355,20,1536,864
39046.2150000385,-92,-29,812,540,437.9691769976513,20,1536,864
39064.87500004005,85,73,812,540,233.69210512980536,20,1536,864
39084.035000007134,85,73,812,540,233.69210512980536,20,1536,864
39103.69499999797,32,239,812,540,262.20793275566626,20,1536,864
39122.88999999873,231,346,812,540,169.24833824885843,20,1536,864
39142.76499999687,14,60,812,540,302.90922732726386,20,1536,864
39164.050000021234,-15,-129,812,540,438.4883122729727,20,1536,864
39183.38000000222,238,-102,812,540,293.4655005277452,20,1536,864
39202.270000008866,245,-39,812,540,230.24334952393303,20,1536,864
39222.84500004025,245,-39,812,540,230.24334952393303,20,1536,864
39258.59500002116,-113,-180,812,540,544.3280261019086,20,1536,864
39283.91500003636,-13,264,812,540,311.66167553935793,20,1536,864
39327.40000000922,201,306,812,540,148.00337833982033,20,1536,864
39346.36500000488,112,12,812,540,248.90560459740556,20,1536,864
39366.009999997914,230,71,812,540,130.14222988715076,20,1536,864
39386.60999998683,-7,-40,812,540,373.02144710458674,20,1536,864
39405.720000038855,15,105,812,540,286.0069929215018,20,1536,864
39425.335000036284,15,105,812,540,286.0069929215018,20,1536,864
39446.21000002371,53,-58,812,540,340.177894637497,20,1536,864
39465.80499998527,99,29,812,540,247.1113109511582,20,1536,864
39497.904999996535,291,170,812,540,17.11724276862369,19,1536,864
39518.73000001069,-3,16,812,540,338.3858744096745,19,1536,864
39537.66000003088,226,308,812,540,136.41847382227965,19,1536,864
39558.36999998428,226,308,812,540,136.41847382227965,19,1536,864
39577.595000038855,-135,94,812,540,434.0794858087629,19,1536,864
39597.65499999048,-125,84,812,540,426.6204402041702,19,1536,864
39629.850000026636,138,-29,812,540,263.54695976239225,18,1536,864
39649.42000003066,138,-29,812,540,263.54695976239225,18,1536,864
39669.779999996535,79,269,812,540,225.44178849538966,18,1536,864
39689.70500002615,-30,65,812,540,341.5333073069155,18,1536,864
39709.13999999175,-30,65,812,540,341.5333073069155,18,1536,864
39729.57999998471,-63,-22,812,540,409.3714694504247,18,1536,864
39781.19499998866,160,-14,812,540,238.83467084994172,17,1536,864
39803.625000000466,30,119,812,540,267.7778930382417,17,1536,864
39823.069999984,89,23,812,540,258.6426105652354,17,1536,864
39844.020000018645,89,23,812,540,258.6426105652354,17,1536,864
39867.150000005495,89,23,812,540,258.6426105652354,17,1536,864
39898.35500001209,-34,152,812,540,324.8907508686574,16,1536,864
39919.08500000136,-14,-3,812,540,357.64367742209566,16,1536,864
39938.51000000723,-318,177,812,540,607.0823667345313,16,1536,864
39959.050000004936,-188,-28,812,540,523.2150609453057,16,1536,864
39979.41000002902,-69,-49,812,540,428.78899239602686,16,1536,864
39998.36000002688,-141,54,812,540,450.0988780257067,16,1536,864
40032.270000025164,264,139,812,540,54.120236510939236,15,1536,864
40053.725000005215,570,110,812,540,291.35888522576414,15,1536,864
40076.04499999434,-400,-182,812,540,781.5894062741638,15,1536,864
40096.81499999715,73,-231,812,540,470.5103612036615,15,1536,864
40116.42000003485,82,69,812,540,238.27085428142487,15,1536,864
