time,x,y,cx,cy,dist,c,screen_width,screen_height
73839.58,-545,-289,1191,123,976.9032705442233,20,1536,864
73885.22,-352,-222,1191,123,783.3990043394234,20,1536,864
73931.18,-553,-83,1191,123,997.5730549689081,20,1536,864
73976.42,-625,-336,1191,123,1059.7438369719355,20,1536,864
74021.42,-514,-211,1191,123,945.6854656808467,20,1536,864
74072.4,369,-100,1191,123,159.5399636454766,20,1536,864
74116.06,-318,-342,1191,123,755.0006622513652,20,1536,864
74160.7,-280,-345,1191,123,717.7220910631078,20,1536,864
74206.18,117,-235,1191,123,314.2292157008956,20,1536,864
74252.56,591,-215,1191,123,163.1686244349691,20,1536,864
74307.68,-221,333,1191,123,872.6419655276727,20,1536,864
74351.36,94,5,1191,123,420.8004277564366,20,1536,864
74395.42,571,298,1191,123,562.6944108483751,20,1536,864
74440.08,417,-139,1191,123,108.90362712049586,20,1536,864
74485.76,242,179,1191,123,466.0439893400622,20,1536,864
74542.62,223,271,1191,123,558.2006807591692,20,1536,864
74585.66,181,168,1191,123,484.48426187029025,20,1536,864
74659.62,56,-27,1191,123,434.77005416656743,19,1536,864
74709.06,-52,243,1191,123,688.032702711143,19,1536,864
74767.68,-41,-191,1191,123,475.31042488041436,19,1536,864
74829.68,1,-93,1191,123,456.7450054461461,19,1536,864
74917.5,313,111,1191,123,376.9456194200962,18,1536,864
74964.8,382,67,1191,123,317.8002517305485,18,1536,864
75006.84,396,36,1191,123,285.156097602699,18,1536,864
75089.22,640,-78,1191,123,268.77871939571406,17,1536,864
75145.72,632,-44,1191,123,285.674640106538,17,1536,864
75193.02,97,-152,1191,123,347.2477501726973,17,1536,864
75269.92,511,-326,1191,123,112.43220179290273,16,1536,864
75312.3,-122,-162,1191,123,559.494414628064,16,1536,864
75355.06,751,-5,1191,123,401.20319041602846,16,1536,864
75398,135,24,1191,123,401.31907505126145,16,1536,864
75482.2,417,-194,1191,123,54.817880294662984,15,1536,864
75538.54,494,-403,1191,123,168.24089871371942,15,1536,864
75590.18,578,-220,1191,123,149.4590244849738,15,1536,864
75672.68,452,-97,1191,123,151.46286673637206,14,1536,864
75719.2,557,-177,1191,123,144.138821973818,14,1536,864
75764,-527,-264,1191,123,958.1508232006065,14,1536,864
75850.22,-338,-118,1191,123,779.7448300566026,13,1536,864
75898.62,-517,-247,1191,123,948,13,1536,864
75949.88,-107,-424,1191,123,566.3682547600987,13,1536,864
76035.7,-70,74,1191,123,595.0142855427927,12,1536,864
76086.22,-658,-183,1191,123,1090.879003372968,12,1536,864
76135.8,-395,-260,1191,123,826.1022939079639,12,1536,864
76223.84,34,-254,1191,123,397.06170805052454,11,1536,864
76273.06,91,-460,1191,123,401.2094216241687,11,1536,864
76318,42,-227,1191,123,389.51379949881107,11,1536,864
76395.94,317,-186,1191,123,129.29423807734048,10,1536,864
76445.9,-1022,341,1191,123,1567.4670650447492,10,1536,864
76493.58,-217,-213,1191,123,648.8913622479498,10,1536,864
76537.5,192,-152,1191,123,257.1886467167631,10,1536,864
76615.98,281,220,1191,123,490.49872578835516,9,1536,864
76663.45999999999,-103,-40,1191,123,572.7172077037671,9,1536,864
76708.16,-69,82,1191,123,598.5323717226997,9,1536,864
76750.72,325,-31,1191,123,240.60756430336932,9,1536,864
76833.88,583,131,1191,123,407.41624906230726,8,1536,864
76882.5,420,43,1191,123,290.2085457046363,8,1536,864
76926.2,138,189,1191,123,525.3046734991037,8,1536,864
77013.02,272,-40,1191,123,261.01724080987447,7,1536,864
77061.38,-53,-123,1191,123,499.63186447623616,7,1536,864
77108.14,433,-65,1191,123,182.0109886792553,7,1536,864
77199.04,346,-118,1191,123,154.48624534242524,6,1536,864
77247.4,700,25,1191,123,382.5506502412458,6,1536,864
77297.86,623,59,1191,123,361.24783736376884,6,1536,864
77380.52,399,-158,1191,123,94.57801012920498,5,1536,864
77434.42,27,-94,1191,123,432.001157405857,5,1536,864
77482.58,156,-18,1191,123,357.8631023170732,5,1536,864
77560.68,424,-118,1191,123,129.18978287774928,4,1536,864
77607.06,350,-288,1191,123,90.78546139112804,4,1536,864
77653.76,283,-83,1191,123,220.90722034374522,4,1536,864
77732.18,38,-248,1191,123,393.0012722625717,3,1536,864
77784.42,461,-254,1191,123,30.805843601498726,3,1536,864
77828.18,482,-104,1191,123,151.82226450688975,3,1536,864
77873.31999999999,-83,-221,1191,123,514.6571674425608,3,1536,864
77963.54,97,-114,1191,123,359.5066063370741,2,1536,864
78010.06,426,-142,1191,123,105.11898020814318,2,1536,864
78052.26,223,-66,1191,123,275.72631357924473,2,1536,864
78126.3,210,-59,1191,123,290.1465147128257,1,1536,864
78175.38,389,-315,1191,123,79.92496481075234,1,1536,864
78224.38,-44,-459,1191,123,520.1624746173064,1,1536,864
