time,x,y,vx,vy,dist,c,valid,screen_width,screen_height
82800.86,283,-10,279,567,791,0,0,1536,864
82846.08,-401,-49,279,567,258,0,0,1536,864
82889.66,-391,65,279,567,159,0,1,1536,864
82935.68,47,-60,279,567,587,1,0,1536,864
82985.44,179,-91,279,567,720,1,0,1536,864
83041.28,159,91,279,567,648,1,0,1536,864
83091.78,-89,-164,279,567,532,1,0,1536,864
83141.22,-184,-266,279,567,550,1,0,1536,864
83190.44,-155,-65,279,567,418,1,0,1536,864
83239.68,-380,59,279,567,171,1,1,1536,864
83297.92,-356,243,279,567,133,2,1,1536,864
83347.2,-384,-22,279,567,239,3,0,1536,864
83397.02,-428,64,279,567,143,3,1,1536,864
83445.3,-301,15,279,567,255,4,0,1536,864
83493.84,-312,230,279,567,172,4,1,1536,864
83550.5,-166,73,279,567,338,5,0,1536,864
83595.28,-246,165,279,567,237,5,0,1536,864
83638.12,-35,137,279,567,450,5,0,1536,864
83681.02,-64,90,279,567,430,5,0,1536,864
83726.42,-375,235,279,567,112,5,1,1536,864
83776.92,-189,56,279,567,324,6,0,1536,864
83832.76,-563,324,279,567,151,6,1,1536,864
83884.8,-109,209,279,567,372,7,0,1536,864
83930.2,-416,50,279,567,160,7,1,1536,864
83981.26,-1088,-50,279,567,655,8,0,1536,864
84030.12,-330,141,279,567,161,8,1,1536,864
84078.84,-442,179,279,567,42,9,1,1536,864
84138.86,-386,160,279,567,101,10,1,1536,864
84192.3,-404,183,279,567,78,11,1,1536,864
84243.06,-421,36,279,567,171,12,1,1536,864
84293.72,-55,59,279,567,447,13,0,1536,864
84340.9,-338,-101,279,567,330,13,0,1536,864
84397.66,155,137,279,567,638,13,0,1536,864
84445.06,-193,-25,279,567,363,13,0,1536,864
84496.31999999999,-86,79,279,567,412,13,0,1536,864
84543.56,-312,17,279,567,246,13,0,1536,864
84593.5,-538,28,279,567,178,13,1,1536,864
84643.04,-420,122,279,567,96,14,1,1536,864
84695.45999999999,-357,89,279,567,164,15,1,1536,864
84747.81999999999,-351,202,279,567,130,16,1,1536,864
84801.95999999999,-371,57,279,567,178,17,1,1536,864
84860.86,-420,235,279,567,71,18,1,1536,864
84915.08,-380,45,279,567,182,19,1,1536,864
84968.54,-354,-6,279,567,239,20,0,1536,864
85019.14,-466,8,279,567,189,20,1,1536,864
