time,x,y,vx,vy,dist,c,valid,screen_width,screen_height
71570.36,-504,-424,996,476,1109,0,0,5120,2880
71615.5,-625,-907,996,476,940,0,0,5120,2880
71663.04,648,-189,996,476,2280,0,0,5120,2880
71707.36,-221,-612,996,476,1345,0,0,5120,2880
71757.36,-353,-264,996,476,1307,0,0,5120,2880
71806.26,-3094,-764,996,476,1538,0,0,5120,2880
71853.48,-907,-2141,996,476,1511,0,0,5120,2880
71901.01999999999,-476,-262,996,476,1196,0,0,5120,2880
71948.08,-426,-1117,996,476,1180,0,0,5120,2880
71999.72,-1092,-400,996,476,597,0,0,5120,2880
72044.36,-463,190,996,476,1458,0,0,5120,2880
72090.72,246,1247,996,476,2709,0,0,5120,2880
72142.51999999999,789,984,996,476,2932,0,0,5120,2880
72188.14,-548,406,996,476,1553,0,0,5120,2880
72232.26,139,585,996,476,2173,0,0,5120,2880
72278.06,160,-276,996,476,1787,0,0,5120,2880
72324.66,1151,-812,996,476,2707,0,0,5120,2880
72366.98,1005,-782,996,476,2561,0,0,5120,2880
72413.36,-770,-865,996,476,791,0,0,5120,2880
72455.37999999999,59,-25,996,476,1781,0,0,5120,2880
72498.56,798,-327,996,476,2396,0,0,5120,2880
72546.94,787,-628,996,476,2347,0,0,5120,2880
72593.66,1063,-1074,996,476,2635,0,0,5120,2880
72644.16,436,92,996,476,2172,0,0,5120,2880
72691.95999999999,2685,-1279,996,476,4270,0,0,5120,2880
72742.7,1284,-714,996,476,2840,0,0,5120,2880
72795.37999999999,78,-582,996,476,1645,0,0,5120,2880
72844.54,-102,-581,996,476,1467,0,0,5120,2880
72898.62,667,-526,996,476,2237,0,0,5120,2880
72956.04,2472,-504,996,476,4037,0,0,5120,2880
73004.31999999999,1596,-529,996,476,3161,0,0,5120,2880
73068.94,917,-1025,996,476,2485,0,0,5120,2880
73114.58,-172,178,996,476,1680,0,0,5120,2880
73168.01999999999,719,43,996,476,2417,0,0,5120,2880
73215.45999999999,543,-818,996,476,2099,0,0,5120,2880
73258.04,180,-187,996,476,1833,0,0,5120,2880
73302.22,1124,-75,996,476,2770,0,0,5120,2880
73353.18,1765,-29,996,476,3403,0,0,5120,2880
73398.84,443,-695,996,476,2000,0,0,5120,2880
73442.8,-214,-558,996,476,1359,0,0,5120,2880
73486.7,596,-25,996,476,2279,0,0,5120,2880
73529.26,2109,-827,996,476,3665,0,0,5120,2880
73572.64,480,-1495,996,476,2159,0,0,5120,2880
73616.66,1953,-445,996,476,3524,0,0,5120,2880
73661.45999999999,153,-706,996,476,1710,0,0,5120,2880
73703.8,1205,-819,996,476,2761,0,0,5120,2880
73754.23999999999,1842,-1437,996,476,3461,0,0,5120,2880
73799.5,868,-855,996,476,2425,0,0,5120,2880
73846.8,1372,-380,996,476,2954,0,0,5120,2880
73890.84,-508,-496,996,476,1084,0,0,5120,2880
73935.23999999999,1596,-580,996,476,3158,0,0,5120,2880
73983.18,884,-844,996,476,2440,0,0,5120,2880
74026.73999999999,317,-196,996,476,1960,0,0,5120,2880
74070,1565,-928,996,476,3124,0,0,5120,2880
74117.98,2760,-1330,996,476,4351,0,0,5120,2880
74164.3,1446,-1133,996,476,3023,0,0,5120,2880
74227.14,988,-654,996,476,2546,0,0,5120,2880
74274.23999999999,833,-819,996,476,2389,0,0,5120,2880
74348.81999999999,845,-518,996,476,2414,0,0,5120,2880
74397.54,308,-47,996,476,2001,0,0,5120,2880
74467.86,1634,-87,996,476,3263,0,0,5120,2880
74514.42,718,-1118,996,476,2299,0,0,5120,2880
74560.18,148,-514,996,476,1724,0,0,5120,2880
74637.12,771,-587,996,476,2334,0,0,5120,2880
74682.04,-430,-861,996,476,1129,0,0,5120,2880
74724.64,610,-560,996,476,2176,0,0,5120,2880
74809.22,1223,-838,996,476,2779,0,0,5120,2880
74856.01999999999,215,-527,996,476,1788,0,0,5120,2880
74902.3,1872,-519,996,476,3437,0,0,5120,2880
74970.8,576,-588,996,476,2140,0,0,5120,2880
75021.54,1327,-138,996,476,2952,0,0,5120,2880
75063.92,763,-887,996,476,2321,0,0,5120,2880
75132.51999999999,1166,-272,996,476,2768,0,0,5120,2880
75178.73999999999,1264,-705,996,476,2820,0,0,5120,2880
75223.28,1154,-728,996,476,2710,0,0,5120,2880
75311,2676,-1005,996,476,4238,0,0,5120,2880
75354.08,1062,-1068,996,476,2634,0,0,5120,2880
75404.7,206,-965,996,476,1772,0,0,5120,2880
75447.9,2204,-487,996,476,3771,0,0,5120,2880
75490.86,742,-1103,996,476,2321,0,0,5120,2880
75536.04,78,-1108,996,476,1667,0,0,5120,2880
75587.22,2046,-993,996,476,3608,0,0,5120,2880
75644.08,-118,-1000,996,476,1455,0,0,5120,2880
75690.98,402,-788,996,476,1958,0,0,5120,2880
75741.58,2791,-712,996,476,4347,0,0,5120,2880
75791.73999999999,-425,-605,996,476,1143,0,0,5120,2880
75843.76,-1196,52,996,476,902,0,0,5120,2880
75896.18,621,1,996,476,2311,0,0,5120,2880
75947.08,458,-145,996,476,2110,0,0,5120,2880
75993.72,-291,-284,996,476,1357,0,0,5120,2880
76047.9,1025,163,996,476,2746,0,0,5120,2880
76093.06,393,-267,996,476,2014,0,0,5120,2880
76139.23999999999,-19,-628,996,476,1544,0,0,5120,2880
